Name,Full Address,Type
Downtown Deli,"100 Commerce St, Dallas, TX 75201",Retailer
Northside Cafe,"200 Preston Rd, Frisco, TX 75034",Retailer
Eastgate Pharmacy,"300 Greenville Ave, Dallas, TX 75206",Distributor
Westpark Hardware,"400 Camp Bowie Blvd, Fort Worth, TX 76107",Retailer
Lakeside Grocery,"500 Belt Line Rd, Richardson, TX 75080",Distributor
Highland Sports,"600 Mockingbird Ln, Dallas, TX 75214",Retailer
Sunset Florist,"700 Davis Blvd, North Richland Hills, TX 76180",Retailer
Pioneer Books,"800 Main St, Grapevine, TX 76051",Distributor
Central Pet Supply,"900 W Park Blvd, Plano, TX 75075",Retailer
Riverside Wines,"1000 Hulen St, Fort Worth, TX 76107",Distributor
